dataset,method,acc_gap_mean,path_acc_gap_mean,discrete_acc_mean,unused_gate_ratio_mean,train_time_mean,time_to_target_mean,n_target_hits,target_hit_rate,dlgn_target_hit_rate,gap_delta_vs_dlgn,path_gap_delta_vs_dlgn,speedup_vs_dlgn,target_speedup_vs_dlgn,unused_delta_vs_dlgn,gap_reduction_vs_dlgn,path_gap_reduction_vs_dlgn,unused_reduction_vs_dlgn,gap_delta_vs_gumbel,path_gap_delta_vs_gumbel
majority9,block_hard_refit,0.28125,0.11197916666666667,0.78125,0.986328125,1.3048264301226784,nan,0,0.0,0.0,-0.018229166666666685,-0.1875,4.031601783378394,nan,0.05729166666666663,0.06086956521739136,0.6260869565217391,-0.06166783461807985,0.23958333333333334,0.0703125
majority9,block_hard_task_refit,0.15625,0.20833333333333334,0.6770833333333334,0.9830729166666666,3.63480452199777,nan,0,0.0,0.0,-0.14322916666666669,-0.09114583333333334,1.4472691807345235,nan,0.05403645833333326,0.4782608695652174,0.30434782608695654,-0.05816398037841618,0.11458333333333334,0.16666666666666669
majority9,block_relaxed,0.13802083333333334,0.13802083333333334,0.4869791666666667,0.9811197916666666,1.2441823369978617,nan,0,0.0,0.0,-0.16145833333333334,-0.16145833333333334,4.228110628362741,nan,0.05208333333333326,0.5391304347826087,0.5391304347826087,-0.056061667834617995,0.09635416666666669,0.09635416666666669
majority9,dlgn,0.2994791666666667,0.2994791666666667,0.7005208333333334,0.9290364583333334,5.260540562681854,nan,0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.0,0.0,0.2578125,0.2578125
majority9,dlgn_anneal,0.15885416666666666,0.15885416666666666,0.8255208333333334,0.9348958333333334,5.837043379743894,nan,0,0.0,0.0,-0.14062500000000003,-0.14062500000000003,0.9012337617598218,nan,0.005859375,0.4695652173913044,0.4695652173913044,-0.006306937631394533,0.1171875,0.1171875
majority9,gumbel_st,0.041666666666666664,0.041666666666666664,0.5208333333333334,0.990234375,5.392944492710133,nan,0,0.0,0.0,-0.2578125,-0.2578125,0.9754486755413012,nan,0.06119791666666663,0.8608695652173912,0.8608695652173912,-0.0658724597056762,0.0,0.0
majority9,hard_st_cage,0.2838541666666667,0.0,0.8046875,0.970703125,5.434249147617568,nan,0,0.0,0.0,-0.015625,-0.2994791666666667,0.9680344827377173,nan,0.04166666666666663,0.05217391304347826,1.0,-0.04484933426769442,0.24218750000000003,-0.041666666666666664
parity8,block_hard_refit,0.057291666666666664,0.07291666666666667,0.484375,0.986328125,0.7565524163655937,nan,0,0.0,0.0,-0.09375,-0.07812499999999999,3.6331296209529906,nan,0.01302083333333337,0.6206896551724138,0.5172413793103448,-0.01337792642140472,-0.03125000000000001,-0.015625
parity8,block_hard_task_refit,0.041666666666666664,0.052083333333333336,0.4583333333333333,0.984375,2.8927910855660834,nan,0,0.0,0.0,-0.109375,-0.09895833333333331,0.9501733489902265,nan,0.01106770833333337,0.7241379310344828,0.6551724137931033,-0.011371237458194019,-0.04687500000000001,-0.036458333333333336
parity8,block_relaxed,0.057291666666666664,0.057291666666666664,0.484375,0.9798177083333334,0.7104594119979689,nan,0,0.0,0.0,-0.09375,-0.09375,3.868838877046584,nan,0.006510416666666741,0.6206896551724138,0.6206896551724138,-0.006688963210702417,-0.03125000000000001,-0.03125000000000001
parity8,dlgn,0.15104166666666666,0.15104166666666666,0.5208333333333334,0.9733072916666666,2.7486529937013984,nan,0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.0,0.0,0.062499999999999986,0.062499999999999986
parity8,dlgn_anneal,0.19270833333333334,0.19270833333333334,0.4375,0.978515625,3.0079915975996605,nan,0,0.0,0.0,0.041666666666666685,0.041666666666666685,0.913783467977367,nan,0.00520833333333337,-0.2758620689655174,-0.2758620689655174,-0.005351170568561911,0.10416666666666667,0.10416666666666667
parity8,gumbel_st,0.08854166666666667,0.08854166666666667,0.546875,0.9895833333333334,2.8577473370047906,nan,0,0.0,0.0,-0.062499999999999986,-0.062499999999999986,0.9618250564384274,nan,0.01627604166666674,0.4137931034482758,0.4137931034482758,-0.01672240802675593,0.0,0.0
