method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
dlgn,parity8,0,full_soft_vs_discrete,0,1,0.3889160752296448,0.6488106846809387,0.1618175208568573,0.1287841796875,0.0,0.1875
dlgn,parity8,0,full_soft_vs_discrete,1,2,0.46037667989730835,0.6561272144317627,0.2166898399591446,0.28515625,0.0,0.3046875
dlgn,parity8,0,full_soft_vs_discrete,2,3,0.47075095772743225,0.6418366432189941,0.22562602162361145,0.3302001953125,0.0,0.3671875
dlgn,parity8,0,full_soft_vs_discrete,3,4,0.4711783528327942,0.6233415603637695,0.22658264636993408,0.3465576171875,0.0,0.3984375
dlgn_anneal,parity8,0,full_soft_vs_discrete,0,1,0.1472751349210739,0.6123532056808472,0.04644187539815903,0.023193359375,0.0,0.1875
dlgn_anneal,parity8,0,full_soft_vs_discrete,1,2,0.25828102231025696,0.7765113115310669,0.09736507385969162,0.0933837890625,0.0,0.2734375
dlgn_anneal,parity8,0,full_soft_vs_discrete,2,3,0.31222692131996155,0.8522931337356567,0.12889589369297028,0.150146484375,0.0,0.34375
dlgn_anneal,parity8,0,full_soft_vs_discrete,3,4,0.316832959651947,0.8515886664390564,0.13689109683036804,0.1956787109375,0.0,0.3984375
gumbel_st,parity8,0,full_soft_vs_discrete,0,1,0.41065168380737305,0.6171221137046814,0.17603109776973724,0.161865234375,0.0,0.1875
gumbel_st,parity8,0,full_soft_vs_discrete,1,2,0.46577975153923035,0.6635780930519104,0.2211182415485382,0.309814453125,0.0,0.296875
gumbel_st,parity8,0,full_soft_vs_discrete,2,3,0.4762742519378662,0.6359450817108154,0.23063738644123077,0.371337890625,0.0,0.3671875
gumbel_st,parity8,0,full_soft_vs_discrete,3,4,0.46785256266593933,0.6277425289154053,0.2235001027584076,0.32080078125,0.0,0.4375
hard_st_cage,parity8,0,full_soft_vs_discrete,0,1,0.49070194363594055,0.5968376398086548,0.24224960803985596,0.40185546875,0.0,0.203125
hard_st_cage,parity8,0,full_soft_vs_discrete,1,2,0.4943801760673523,0.5601780414581299,0.24496054649353027,0.416748046875,0.0,0.3359375
hard_st_cage,parity8,0,full_soft_vs_discrete,2,3,0.4928836524486542,0.5560503005981445,0.24338437616825104,0.3636474609375,0.0,0.5
hard_st_cage,parity8,0,full_soft_vs_discrete,3,4,0.49093565344810486,0.5495693683624268,0.2415383756160736,0.3880615234375,0.0234375,0.59375
block_relaxed,parity8,0,full_soft_vs_discrete,0,1,0.4077104926109314,0.6305758953094482,0.1746283918619156,0.166259765625,0.0,0.234375
block_relaxed,parity8,0,full_soft_vs_discrete,1,2,0.46637558937072754,0.6767182946205139,0.2222127765417099,0.3067626953125,0.0,0.3046875
block_relaxed,parity8,0,full_soft_vs_discrete,2,3,0.47141292691230774,0.642201840877533,0.22625145316123962,0.3375244140625,0.0,0.3671875
block_relaxed,parity8,0,full_soft_vs_discrete,3,4,0.4697509706020355,0.6639964580535889,0.22515453398227692,0.3289794921875,0.0,0.3984375
block_hard_refit,parity8,0,full_soft_vs_discrete,0,1,0.3931863307952881,0.49910110235214233,0.16010423004627228,0.0,0.0,0.15625
block_hard_refit,parity8,0,full_soft_vs_discrete,1,2,0.4576287269592285,0.607463002204895,0.2134363055229187,0.219970703125,0.0,0.296875
block_hard_refit,parity8,0,full_soft_vs_discrete,2,3,0.4654938280582428,0.6434128880500793,0.2202664613723755,0.2794189453125,0.0,0.4609375
block_hard_refit,parity8,0,full_soft_vs_discrete,3,4,0.4649871587753296,0.6276581287384033,0.22033056616783142,0.28759765625,0.0,0.5234375
block_hard_refit,parity8,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.15625,0.15625
block_hard_refit,parity8,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.296875,0.296875
block_hard_refit,parity8,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.4609375,0.4609375
block_hard_refit,parity8,0,path_soft_vs_discrete,3,4,0.3843560218811035,0.4997779130935669,0.15311674773693085,0.0,0.2109375,0.5234375
block_hard_task_refit,parity8,0,full_soft_vs_discrete,0,1,0.42420923709869385,0.8140861392021179,0.19112715125083923,0.159423828125,0.0,0.1796875
block_hard_task_refit,parity8,0,full_soft_vs_discrete,1,2,0.4703345000743866,0.8392810225486755,0.2261303812265396,0.311767578125,0.0,0.3359375
block_hard_task_refit,parity8,0,full_soft_vs_discrete,2,3,0.4688592851161957,0.6427431702613831,0.2235942780971527,0.2994384765625,0.0,0.5234375
block_hard_task_refit,parity8,0,full_soft_vs_discrete,3,4,0.4685807526111603,0.7276618480682373,0.22400900721549988,0.287109375,0.0,0.6640625
block_hard_task_refit,parity8,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.1796875,0.1796875
