method,dataset,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,path_soft_acc,path_discrete_acc,path_acc_gap,path_soft_loss,path_discrete_loss,path_loss_gap,train_time,epochs_to_target,time_to_target,unused_gate_ratio,gate_count,depth,fanout_max,soft_inference_samples_per_sec,discrete_inference_samples_per_sec,inference_bench_repeats,activation_inactive_gate_ratio
dlgn,parity8,0,0.59375,0.453125,0.140625,1.3755781650543213,175.15162658691406,173.77604842185974,0.59375,0.453125,0.140625,1.3755781650543213,175.15162658691406,173.77604842185974,3.001425025984645,-1,-1.0,0.97265625,512,4,32,nan,nan,0,0.314453125
dlgn_anneal,parity8,0,0.28125,0.390625,0.109375,18.20343017578125,150.06497192382812,131.86154174804688,0.28125,0.390625,0.109375,18.20343017578125,150.06497192382812,131.86154174804688,2.889283995842561,-1,-1.0,0.982421875,512,4,32,nan,nan,0,0.30078125
gumbel_st,parity8,0,0.40625,0.59375,0.1875,1.432034969329834,112.52165985107422,111.08962488174438,0.40625,0.59375,0.1875,1.432034969329834,112.52165985107422,111.08962488174438,2.8654989760834724,-1,-1.0,0.9921875,512,4,32,nan,nan,0,0.322265625
hard_st_cage,parity8,0,0.40625,0.328125,0.078125,4.209776401519775,103.3199462890625,99.11016988754272,0.328125,0.328125,0.0,103.3199462890625,103.3199462890625,0.0,2.8258301101159304,-1,-1.0,0.9921875,512,4,32,nan,nan,0,0.40625
block_relaxed,parity8,0,0.59375,0.484375,0.109375,0.6780531406402588,154.7633056640625,154.08525252342224,0.59375,0.484375,0.109375,0.6780531406402588,154.7633056640625,154.08525252342224,0.7105267229489982,-1,-1.0,0.98046875,512,4,32,nan,nan,0,0.32421875
block_hard_refit,parity8,0,0.59375,0.484375,0.109375,3.2422897815704346,98.5457992553711,95.30350947380066,0.375,0.484375,0.109375,17.736392974853516,98.5457992553711,80.80940628051758,0.7564495271071792,-1,-1.0,0.982421875,512,4,32,nan,nan,0,0.359375
block_hard_task_refit,parity8,0,0.40625,0.34375,0.0625,27.87148666381836,42.54490280151367,14.673416137695312,0.34375,0.34375,0.0,16.462778091430664,42.54490280151367,26.082124710083008,2.8712520031258464,-1,-1.0,0.986328125,512,4,32,nan,nan,0,0.423828125
dlgn,majority9,0,1.0,0.6953125,0.3046875,0.01609695702791214,97.69957733154297,97.68348037451506,1.0,0.6953125,0.3046875,0.01609695702791214,97.69957733154297,97.68348037451506,5.166356713976711,-1,-1.0,0.943359375,512,4,29,nan,nan,0,0.26171875
dlgn_anneal,majority9,0,0.9765625,0.8203125,0.15625,0.46944189071655273,50.80290985107422,50.333467960357666,0.9765625,0.8203125,0.15625,0.46944189071655273,50.80290985107422,50.333467960357666,5.799113387009129,-1,-1.0,0.947265625,512,4,29,nan,nan,0,0.220703125
gumbel_st,majority9,0,0.4609375,0.484375,0.0234375,37.30565643310547,159.47789001464844,122.17223358154297,0.4609375,0.484375,0.0234375,37.30565643310547,159.47789001464844,122.17223358154297,5.354023443069309,-1,-1.0,0.990234375,512,4,29,nan,nan,0,0.30078125
hard_st_cage,majority9,0,0.5390625,0.8125,0.2734375,3.5789906978607178,22.71040153503418,19.131410837173462,0.8125,0.8125,0.0,22.71040153503418,22.71040153503418,0.0,5.704957850975916,-1,-1.0,0.96875,512,4,29,nan,nan,0,0.349609375
block_relaxed,majority9,0,0.640625,0.5,0.140625,0.6248279213905334,138.38954162597656,137.76471370458603,0.640625,0.5,0.140625,0.6248279213905334,138.38954162597656,137.76471370458603,1.2519069381523877,-1,-1.0,0.986328125,512,4,29,nan,nan,0,0.314453125
block_hard_refit,majority9,0,0.5390625,0.828125,0.2890625,36.971797943115234,22.737478256225586,14.234319686889648,0.8828125,0.828125,0.0546875,2.727283477783203,22.737478256225586,20.010194778442383,1.3062001450452954,-1,-1.0,0.984375,512,4,29,nan,nan,0,0.3046875
block_hard_task_refit,majority9,0,0.5390625,0.71875,0.1796875,36.138641357421875,32.17204666137695,3.966594696044922,0.859375,0.71875,0.140625,4.2247090339660645,32.17204666137695,27.94733762741089,3.5914607089944184,-1,-1.0,0.984375,512,4,29,nan,nan,0,0.37890625
dlgn,random_sparse10,0,1.0,0.5859375,0.4140625,0.0014111679047346115,132.47061157226562,132.4692004043609,1.0,0.5859375,0.4140625,0.0014111679047346115,132.47061157226562,132.4692004043609,10.188174013979733,-1,-1.0,0.890625,512,4,26,nan,nan,0,0.1875
dlgn_anneal,random_sparse10,0,1.0,0.80078125,0.19921875,9.831283023231663e-06,47.295413970947266,47.29540413966424,1.0,0.80078125,0.19921875,9.831283023231663e-06,47.295413970947266,47.29540413966424,11.390331944916397,-1,-1.0,0.873046875,512,4,26,nan,nan,0,0.17578125
gumbel_st,random_sparse10,0,0.515625,0.61328125,0.09765625,39.64324188232422,112.93936920166016,73.29612731933594,0.515625,0.61328125,0.09765625,39.64324188232422,112.93936920166016,73.29612731933594,10.22606831905432,-1,-1.0,0.994140625,512,4,26,nan,nan,0,0.314453125
