method,dataset,seed,block,block_epochs,global_epoch_end,elapsed_time,prefix_reaches_target,block_train_time,path_soft_acc,path_soft_loss,hard_prefix_acc,hard_prefix_loss,path_acc_gap,path_loss_gap,fit_source,fit_rows,argmax_refit_mse,truth_refit_mse,refit_mse_delta,op_change_ratio,task_fit_rows,task_validation_rows,selected_candidate,selection_mode,selected_refit_mse,selected_inactive_ratio,coordinate_updates,coordinate_passes,candidate_topk,teacher_validation_acc,teacher_validation_loss,argmax_validation_acc,argmax_validation_loss,argmax_local_mse,argmax_inactive_ratio,argmax_teacher_logit_mse,truth_table_refit_validation_acc,truth_table_refit_validation_loss,truth_table_refit_local_mse,truth_table_refit_inactive_ratio,truth_table_refit_teacher_logit_mse,task_coordinate_refit_validation_acc,task_coordinate_refit_validation_loss,task_coordinate_refit_local_mse,task_coordinate_refit_inactive_ratio,task_coordinate_refit_teacher_logit_mse
block_relaxed,parity8,0,0,30,30,0.17672525206580758,0,0.17473102104850113,0.453125,9.794517517089844,0.5,167.25247192382812,0.046875,157.45795440673828,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relaxed,parity8,0,1,30,60,0.35092713590711355,0,0.1690875398926437,0.375,3.8042798042297363,0.46875,200.06500244140625,0.09375,196.2607226371765,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relaxed,parity8,0,2,30,90,0.5288365839514881,0,0.16935500595718622,0.5,2.3796844482421875,0.359375,229.72000122070312,0.140625,227.34031677246094,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relaxed,parity8,0,3,30,120,0.7100205200258642,0,0.1698484809603542,0.59375,0.6780531406402588,0.484375,154.7633056640625,0.109375,154.08525252342224,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,parity8,0,0,30,30,0.1910873840097338,0,0.17403555591590703,0.453125,9.794517517089844,0.40625,165.6899871826172,0.046875,155.89546966552734,exact,256,0.17531436632270925,0.16079321861616336,0.01452114770654589,0.5703125,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,parity8,0,1,30,60,0.3780352280009538,0,0.17044786806218326,0.515625,19.941560745239258,0.421875,150.04331970214844,0.09375,130.10175895690918,sampled,192,0.17372309623169713,0.15859814165742137,0.015124954574275762,0.6171875,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,parity8,0,2,30,90,0.5664084171876311,0,0.17059480189345777,0.359375,22.628768920898438,0.375,189.1274871826172,0.015625,166.49871826171875,sampled,192,0.17941946885548532,0.16325115540530533,0.016168313450179994,0.734375,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,parity8,0,3,30,120,0.755993033060804,0,0.1704928269609809,0.375,17.736392974853516,0.484375,98.5457992553711,0.109375,80.80940628051758,sampled,192,0.16148757367045619,0.15327625841018744,0.008211315260268748,0.7421875,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_task_refit,parity8,0,0,30,30,0.7171194481197745,0,0.17069752607494593,0.453125,9.794517517089844,0.375,61.143280029296875,0.078125,51.34876251220703,exact,256,0.17531436681747437,0.1607932299375534,-0.0169970840215683,0.7265625,154,38,task_coordinate_refit,balanced,0.19231145083904266,0.1796875,58,2,16,0.6315789222717285,4.412128925323486,0.5526315569877625,160.58103942871094,0.17531436681747437,0.234375,144932.234375,0.5526315569877625,97.40489959716797,0.1607932299375534,0.15625,112900.3828125,0.5526315569877625,23.957822799682617,0.19231145083904266,0.1796875,5382.85009765625
block_hard_task_refit,parity8,0,1,30,60,1.4355051899328828,0,0.17109790188260376,0.453125,17.06490707397461,0.40625,67.31746673583984,0.046875,50.252559661865234,sampled_train,154,0.17642594873905182,0.16177605092525482,-0.002939760684967041,0.7109375,154,38,task_coordinate_refit,balanced,0.17936570942401886,0.328125,48,2,16,0.5263158082962036,9.188587188720703,0.5,142.17822265625,0.17642594873905182,0.3046875,66436.4609375,0.3947368562221527,136.89682006835938,0.16177605092525482,0.296875,37982.83984375,0.5526315569877625,29.239219665527344,0.17936570942401886,0.328125,6711.228515625
block_hard_task_refit,parity8,0,2,30,90,2.150951318908483,0,0.17154699587263167,0.375,18.821557998657227,0.421875,87.64080810546875,0.046875,68.81925010681152,sampled_train,154,0.17718549072742462,0.16163989901542664,-0.002554476261138916,0.796875,154,38,task_coordinate_refit,balanced,0.17973996698856354,0.5234375,43,2,16,0.5263158082962036,10.45053768157959,0.5263158082962036,155.29965209960938,0.17718549072742462,0.40625,147198.859375,0.5789473652839661,142.12350463867188,0.16163989901542664,0.4296875,49682.015625,0.3684210479259491,73.84837341308594,0.17973996698856354,0.5234375,10156.650390625
block_hard_task_refit,parity8,0,3,30,120,2.8707904589828104,0,0.1709884039591998,0.34375,16.462778091430664,0.34375,42.54490280151367,0.0,26.082124710083008,sampled_train,154,0.16513943672180176,0.15175659954547882,-0.003982037305831909,0.8203125,154,38,task_coordinate_refit,balanced,0.16912147402763367,0.6640625,32,2,16,0.6315789222717285,7.341933250427246,0.6052631735801697,94.79156494140625,0.16513943672180176,0.578125,78422.734375,0.6315789222717285,126.3522720336914,0.15175659954547882,0.578125,108442.65625,0.6052631735801697,24.012548446655273,0.16912147402763367,0.6640625,4771.61865234375
block_relaxed,majority9,0,0,30,30,0.30096428212709725,0,0.2984440599102527,0.9921875,0.0803755670785904,0.828125,29.736236572265625,0.1640625,29.655861005187035,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
